model_label,metric,n_tasks,mean_diff,sd_diff,t_p,wilcox_p
deepseek-chat,fluency_count,10,-6.966666666666667,5.285549832991554,0.002418545246962253,0.012772494550201767
deepseek-chat,tokens_out,10,496.8333333333333,92.75618511206251,3.9099552651320944e-8,0.001953125
deepseek-chat,generation_cost_usd,10,1.7e-4,3.314763086705844e-5,5.716270755099821e-8,0.005447634443706495
deepseek-chat,judge_fluency,10,-0.9,0.7544108976341313,0.0043991825149479495,0.008848773653994606
deepseek-chat,judge_originality,10,-0.6,0.8285045281025445,0.04776605011030354,0.1051719513086604
deepseek-chat,judge_flexibility,10,-0.9666666666666667,0.9743627230397223,0.011979996587272253,0.012693970055273049
deepseek-chat,judge_elaboration,10,-1.0666666666666667,1.130934279999953,0.015385157495118717,0.023767701926011346
deepseek-chat,semantic_diversity,10,0.024431298138239584,0.03381110796667109,0.048166599243252874,0.10546875
deepseek-reasoner,fluency_count,10,-1.366666666666667,1.8084165367443337,0.04056974572987166,0.037813753008406475
deepseek-reasoner,tokens_out,10,1644.7666666666667,470.61333896821793,1.547166511897067e-6,0.001953125
deepseek-reasoner,generation_cost_usd,10,4.5666666666666664e-4,1.3882220621453759e-4,2.573879530942175e-6,0.005889270041817481
deepseek-reasoner,judge_fluency,10,-6.106226635438361e-17,0.44444444444444436,0.9999999999999997,1
deepseek-reasoner,judge_originality,10,0.6,0.5837300238472753,0.009990684849755106,0.015768598674293904
deepseek-reasoner,judge_flexibility,10,0.1666666666666666,0.6334307917217434,0.4269057068007691,0.5739915504228602
deepseek-reasoner,judge_elaboration,10,0.33333333333333337,0.7200822998230958,0.17726770250560836,0.188198568977216
deepseek-reasoner,semantic_diversity,10,0.03633849467093858,0.04983378206693371,0.04654674240861221,0.083984375
deepseek-v4-flash,fluency_count,10,-4.033333333333333,5.511939901838688,0.045936258249066234,0.05917104905405076
deepseek-v4-flash,tokens_out,10,489.76666666666665,83.65627056556053,1.7922411906753616e-8,0.001953125
deepseek-v4-flash,generation_cost_usd,10,1.5666666666666666e-4,2.744242007828548e-5,2.236030851777871e-8,0.005143764225114988
deepseek-v4-flash,judge_fluency,10,-0.26666666666666644,1.1417984514369002,0.4789968566243811,0.7211079234246552
deepseek-v4-flash,judge_originality,10,0.1666666666666667,1.1679886689793688,0.6624910129790177,0.7984748259421881
deepseek-v4-flash,judge_flexibility,10,-0.33333333333333326,1.122167215373564,0.37208228820996414,0.6811221057157276
deepseek-v4-flash,judge_elaboration,10,-0.5666666666666667,1.0663193879120065,0.12715949379547048,0.285202279843243
deepseek-v4-flash,semantic_diversity,10,0.040064171403035274,0.04846965125082266,0.02809127229732379,0.037109375
deepseek-v4-pro,fluency_count,10,-0.8999999999999998,0.9033545166301266,0.011727451657793628,0.01722051833205251
deepseek-v4-pro,tokens_out,10,483.3333333333333,80.04057612961377,1.364949394196952e-8,0.001953125
deepseek-v4-pro,generation_cost_usd,10,4.2666666666666667e-4,7.336699564097414e-5,1.9006812602626354e-8,0.005825024199461524
deepseek-v4-pro,judge_fluency,10,0.4333333333333337,0.27442420078285484,7.456180601272525e-4,0.007914041622147478
deepseek-v4-pro,judge_originality,10,0.6,0.34426518632954817,3.746456530901091e-4,0.005729376404626987
deepseek-v4-pro,judge_flexibility,10,0.4000000000000001,0.4097575314352395,0.012992786487757379,0.027198399577616803
deepseek-v4-pro,judge_elaboration,10,0.3333333333333332,0.22222222222222232,0.0010538712570165596,0.010278261902115466
deepseek-v4-pro,semantic_diversity,10,-0.0017790352133630893,0.03271889316797069,0.8672860634151954,0.6953125
