model_label,condition,n_responses,mean_tokens_out,mean_fluency_count,mean_judge_fluency,mean_judge_original,mean_judge_flex,mean_judge_elab,mean_sem_diversity
gpt-4o,default,30,266.26666666666665,18,4,2.966666666666667,3.966666666666667,3.3333333333333335,0.6395934754783293
gpt-4o,tangent_return,29,506.6551724137931,17.275862068965516,3.9655172413793105,3.413793103448276,4,3.9310344827586206,0.6591456997296182
gpt-5,default,28,2491.5,17.392857142857142,4.928571428571429,3.9642857142857144,4.892857142857143,5,0.649832449624987
gpt-5,tangent_return,26,4377.2692307692305,17.384615384615383,4.846153846153846,4.076923076923077,4.923076923076923,5,0.6842263266922393
opus-4.5,default,30,308.6666666666667,17.3,4.033333333333333,3.2666666666666666,4.233333333333333,4.033333333333333,0.7073276219292287
opus-4.5,tangent_return,30,657,16.533333333333335,4.333333333333333,4.033333333333333,4.966666666666667,4.766666666666667,0.7359139210103044
sonnet-4.5,default,30,343.3333333333333,16.933333333333334,4.166666666666667,3.3666666666666667,4.3,4.133333333333334,0.693780877867314
sonnet-4.5,tangent_return,30,685,17.8,4.166666666666667,3.966666666666667,4.666666666666667,4.5,0.7363450050416754
