model_label,condition,mean_agent_cost,mean_originality,composite_quality,cost_per_orig_pt,cost_per_quality
gpt-4o,default,0.002948416666666667,2.966666666666667,3.4222222222222225,9.938483146067416e-4,8.615503246753247e-4
sonnet-4.5,default,0.005513,3.3666666666666667,3.9333333333333336,0.0016375247524752475,0.0014016101694915252
gpt-4o,tangent_return,0.0058923275862068965,3.413793103448276,3.781609195402299,0.0017260353535353537,0.0015581534954407295
opus-4.5,default,0.008321666666666666,3.2666666666666666,3.8444444444444446,0.002547448979591837,0.0021645953757225434
sonnet-4.5,tangent_return,0.01137,3.966666666666667,4.377777777777777,0.0028663865546218487,0.0025972081218274116
opus-4.5,tangent_return,0.01825,4.033333333333333,4.588888888888889,0.004524793388429752,0.003976997578692494
gpt-5,default,0.07531160714285715,3.9642857142857144,4.6190476190476195,0.01899752252252252,0.01630457474226804
gpt-5,tangent_return,0.13296461538461538,4.076923076923077,4.666666666666667,0.03261396226415094,0.02849241758241758
