model_label,condition,thinking,mean_generation_cost_usd,cost_per_1k_generations_usd,composite_quality,mean_judge_original,mean_judge_flex,mean_judge_elab,mean_sem_diversity,cost_per_quality_point
deepseek-chat,default,disabled,1e-4,0.1,4.188888888888889,3.6333333333333333,4.333333333333333,4.6,0.627374426091302,2.3872679045092838e-5
deepseek-v4-flash,default,disabled,1.0333333333333334e-4,0.10333333333333335,4.177777777777778,3.566666666666667,4.333333333333333,4.633333333333334,0.6068312093096541,2.473404255319149e-5
deepseek-v4-flash,tangent_return,disabled,2.6e-4,0.25999999999999995,3.9333333333333336,3.7333333333333334,4,4.066666666666666,0.6545223752556666,6.610169491525423e-5
deepseek-reasoner,default,disabled,2.633333333333333e-4,0.2633333333333333,3.8777777777777778,3.1666666666666665,4.133333333333334,4.333333333333333,0.5955308654683787,6.790830945558739e-5
deepseek-chat,tangent_return,disabled,2.7e-4,0.27,3.3111111111111113,3.033333333333333,3.3666666666666667,3.533333333333333,0.6524058338995091,8.154362416107382e-5
deepseek-v4-pro,default,disabled,3.533333333333333e-4,0.35333333333333333,4.300000000000001,3.7,4.533333333333333,4.666666666666667,0.6764447945291516,8.21705426356589e-5
deepseek-v4-pro,tangent_return,disabled,7.8e-4,0.78,4.7444444444444445,4.3,4.933333333333334,5,0.6746657593157885,1.6440281030444964e-4
deepseek-reasoner,tangent_return,disabled,7.199999999999999e-4,0.72,4.2444444444444445,3.7666666666666666,4.3,4.666666666666667,0.6304902241714024,1.6963350785340314e-4
