model_label,condition,n_responses,mean_tokens_out,mean_fluency_count,mean_judge_fluency,mean_judge_original,mean_judge_flex,mean_judge_elab,mean_sem_diversity
gpt-4o,default_examples,30,281.73333333333335,18,4,3,4,3.8,0.6445454178889192
gpt-4o,default_long,28,1054.5357142857142,17.392857142857142,4.178571428571429,3.142857142857143,4.107142857142857,3.75,0.5576878836509499
opus-4.5,default_examples,30,371.1333333333333,17.1,4.166666666666667,3.6666666666666665,4.466666666666667,4.3,0.6926877008219027
opus-4.5,default_long,30,1010.2666666666667,14.866666666666667,4.966666666666667,3.933333333333333,4.933333333333334,5,0.5831390409448685
sonnet-4.5,default_examples,30,379.8666666666667,16.366666666666667,4.133333333333334,3.5,4.366666666666666,4.166666666666667,0.6804498697312569
sonnet-4.5,default_long,30,1579.8666666666666,14.033333333333333,4.666666666666667,3.6333333333333333,4.7,5,0.5142277484096627
