model_label,condition,n,mean_tokens_in,mean_tokens_out,mean_agent_cost,mean_total_cost,cost_per_1k_calls,mean_originality,mean_flexibility,mean_elaboration,mean_sem_diversity
gpt-4o,default,30,114.3,266.26666666666665,0.002948416666666667,0.013474416666666668,13.474416666666668,2.966666666666667,3.966666666666667,3.3333333333333335,0.6395934754783293
gpt-4o,tangent_return,29,330.3103448275862,506.6551724137931,0.0058923275862068965,0.0164183275862069,16.4183275862069,3.413793103448276,4,3.9310344827586206,0.6591456997296182
gpt-5,default,28,113.32142857142857,2491.5,0.07531160714285715,0.08583760714285714,85.83760714285714,3.9642857142857144,4.892857142857143,5,0.649832449624987
gpt-5,tangent_return,26,329.3076923076923,4377.2692307692305,0.13296461538461538,0.14349061538461538,143.49061538461538,4.076923076923077,4.923076923076923,5,0.6842263266922393
opus-4.5,default,30,121,308.6666666666667,0.008321666666666666,0.01884766666666667,18.84766666666667,3.2666666666666666,4.233333333333333,4.033333333333333,0.7073276219292287
opus-4.5,tangent_return,30,365,657,0.01825,0.028776000000000003,28.776000000000003,4.033333333333333,4.966666666666667,4.766666666666667,0.7359139210103044
sonnet-4.5,default,30,121,343.3333333333333,0.005513,0.016039,16.039,3.3666666666666667,4.3,4.133333333333334,0.693780877867314
sonnet-4.5,tangent_return,30,365,685,0.01137,0.021896000000000002,21.896,3.966666666666667,4.666666666666667,4.5,0.7363450050416754
